LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,1368658.53,30.0,958750.05,241104.03,9.75,129539.75,0.0,-9.0,1.0,140077.28,1364669.5,9.75,294148.99,0.0,140291.45,1.0,140077.28,1939187.22,254248.13
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,1216987.77,29.0,942232.87,61675.34,5.75,55154.3,0.0,-9.0,1.0,109064.79,1329762.24,5.75,188493.7,0.0,110535.81,1.0,109064.79,1737856.54,86025.9
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,1564774.07,33.0,1224396.64,145286.93,11.5,36591.6,1.0,135714.6,1.0,168071.23,1710485.38,11.5,235244.3,1.0,135714.6,1.0,168071.23,2249515.51,174487.85
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,584177.62,9.0,384513.44,53624.32,2.25,27974.14,1.0,61098.09,1.0,110591.95,460136.35,2.25,71099.02,1.0,61098.09,1.0,110591.95,702925.41,73465.08
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,927314.07,13.0,661273.82,152818.18,1.0,0.0,1.0,156408.34,1.0,109631.91,840718.94,1.0,35875.02,1.0,156408.34,1.0,109631.91,1142634.21,154536.82
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,1156892.24,26.0,745310.1,151318.38,10.75,107272.53,0.0,-9.0,2.0,192969.79,1332810.15,10.75,310532.09,0.0,111339.82,2.0,192969.79,1947651.85,191377.86
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,4832419.02,98.0,3801190.95,641426.73,20.0,84300.2,1.0,399041.19,5.0,547886.68,5155545.57,20.0,596302.04,1.0,399041.19,5.0,547886.68,6698775.48,673082.07
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,1054251.83,27.5,777592.64,349753.94,11.25,41613.21,2.0,130419.94,1.0,104626.04,1321148.82,11.25,313524.22,2.0,130419.94,1.0,104626.04,1869719.02,408426.95
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,2111090.61,50.0,1315971.86,412579.86,12.0,27241.95,0.0,-9.0,3.0,344339.52,2545616.2,12.0,360043.04,0.0,423537.28,3.0,344339.52,3673536.04,536343.43
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,2271955.92,54.0,1681471.72,440715.02,10.5,37298.92,0.0,-9.0,3.0,325559.39,2665715.1,10.5,337307.88,0.0,227625.89,3.0,325559.39,3556208.26,458292.21
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,1478154.62,31.0,1170003.12,230220.3,9.75,37172.47,0.0,-9.0,2.0,201750.74,1646517.93,9.75,316284.8,0.0,69228.29,2.0,201750.74,2233781.76,239952.08
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,2266134.38,52.0,1618674.06,425823.31,7.25,0.0,0.0,-9.0,3.0,347091.28,2405666.22,7.25,205289.34,0.0,300369.04,3.0,347091.28,3258415.88,453264.76
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,2267595.69,44.0,1807572.82,261430.12,4.0,20419.09,0.0,-9.0,2.0,195511.47,2198693.47,4.0,123763.31,0.0,244092.31,2.0,195511.47,2762060.56,261430.12
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,2014431.6,38.0,1566439.03,322329.05,6.25,0.0,0.0,-9.0,2.0,225306.06,1947245.97,6.25,169039.74,0.0,222686.51,2.0,225306.06,2564278.28,324596.7
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,634407.19,8.0,386341.02,87173.02,5.0,0.0,3.0,127853.84,1.0,120212.33,568154.91,5.0,152083.08,3.0,127853.84,1.0,120212.33,968304.16,113143.04
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,1953103.82,41.0,1459801.02,336424.33,14.25,58727.18,1.0,142324.1,3.0,292251.52,2232387.07,14.25,401564.31,1.0,148615.1,3.0,292251.52,3074818.0,519668.37
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,1925961.21,42.0,1480032.89,329244.75,8.5,56777.6,0.0,-9.0,2.0,197809.3,1877764.43,8.5,275690.38,0.0,191341.42,2.0,197809.3,2542605.53,349403.36
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,1899615.13,20.7,834177.28,584663.95,12.0,345666.89,8.2,439081.55,4.0,280689.41,968799.76,13.0,382697.69,8.2,439081.55,4.0,280689.41,2071268.41,756317.23
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,1110376.87,24.0,809310.63,113201.73,6.5,0.0,1.0,174577.2,0.0,-9.0,1179014.48,6.5,205508.71,1.0,174577.2,0.0,126489.04,1685589.43,117903.55
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,2693770.73,58.0,2140477.4,514728.36,12.75,93653.08,0.0,-9.0,1.0,132455.18,2961584.83,12.75,360617.63,0.0,327185.07,1.0,132455.18,3781842.71,515568.48
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,1218539.05,29.0,796249.96,419080.83,11.75,0.0,0.0,-9.0,2.0,193655.05,1320175.09,11.75,323786.7,0.0,228634.04,2.0,193655.05,2066250.88,447852.8
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,877659.53,17.0,610692.11,107690.78,4.0,55433.93,1.0,93111.3,1.0,118422.19,809815.97,5.0,162745.49,1.0,93111.3,1.0,118422.19,1184094.95,174488.15
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,1087911.08,21.0,748178.77,174084.8,4.75,45646.51,0.0,-9.0,2.0,182247.83,994550.22,4.75,138601.26,0.0,111837.97,2.0,182247.83,1427237.28,192042.23
HI,HAWAII,1500030,Hawaii Department of Education,24,Sunset Beach Elementary School,150003000024,No,1375686.33,30.0,1068963.7,313628.97,5.0,0.0,0.0,-9.0,2.0,192127.89,1392139.25,5.0,149556.02,0.0,114594.74,2.0,192127.89,1848417.9,314135.23
HI,HAWAII,1500030,Hawaii Department of Education,25,Waiahole Elementary School,150003000025,No,457027.48,10.5,291607.65,106135.83,4.75,0.0,0.0,-9.0,1.0,104610.78,449123.8,4.75,79952.63,0.0,60809.05,1.0,104610.78,694496.26,109258.43
HI,HAWAII,1500030,Hawaii Department of Education,26,Waimanalo Elementary & Intermediate School,150003000026,No,1778550.87,36.0,1345609.07,199043.61,9.5,0.0,0.0,-9.0,2.0,214266.5,1739258.64,9.5,265086.55,0.0,218675.3,2.0,214266.5,2437286.99,353978.1
HI,HAWAII,1500030,Hawaii Department of Education,27,Ernest Bowen DeSilva Elementary School,150003000027,No,1347138.13,24.5,1025967.53,374111.05,4.25,48739.31,0.0,-9.0,1.0,132501.09,1233567.96,4.25,193207.65,0.0,139930.2,1.0,132501.09,1699206.9,374575.76
HI,HAWAII,1500030,Hawaii Department of Education,28,Haaheo Elementary School,150003000028,No,700281.3,11.5,505297.98,156772.23,1.5,24369.63,0.0,-9.0,1.0,104610.78,585959.49,1.5,54110.8,0.0,66002.91,1.0,104610.78,810683.98,186272.45
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,3536170.43,80.0,2636735.15,772573.3,18.5,72672.33,0.0,-9.0,4.0,426193.05,4290309.19,18.5,542233.08,0.0,456230.43,4.0,426193.05,5714965.75,884852.5
HI,HAWAII,1500030,Hawaii Department of Education,30,Hilo Intermediate School,150003000030,No,1681188.12,34.0,1290992.69,153174.95,5.5,34373.98,1.0,150167.78,2.0,205653.67,1823632.46,5.5,243831.69,1.0,150167.78,2.0,205653.67,2423285.6,263401.16
HI,HAWAII,1500030,Hawaii Department of Education,31,Hilo Union Elementary School,150003000031,No,1279450.58,31.0,927397.47,340905.0,7.25,31822.86,0.0,-9.0,2.0,190783.88,1578200.16,7.25,244521.36,0.0,129446.37,2.0,190783.88,2142951.77,382370.54
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,1387745.45,26.0,981268.96,361400.86,6.0,74476.25,0.0,-9.0,1.0,165735.44,1190841.48,6.0,185702.29,0.0,166264.8,1.0,165735.44,1708544.01,386671.91
HI,HAWAII,1500030,Hawaii Department of Education,33,Honaunau Elementary School,150003000033,No,616922.29,12.5,443879.73,110600.53,1.0,0.0,0.0,-9.0,1.0,113710.31,543363.08,1.0,30586.0,0.0,59332.25,1.0,113710.31,746991.64,116358.48
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,2113081.17,45.0,1480730.99,318832.76,14.25,37298.92,3.0,284560.21,3.0,310491.05,2231807.71,14.25,329302.8,3.0,284560.21,3.0,310491.05,3156161.77,543235.01
HI,HAWAII,1500030,Hawaii Department of Education,35,Hookena Elementary School,150003000035,No,512745.94,8.0,278538.78,146491.88,1.0,0.0,2.0,129596.38,1.0,104610.78,406058.67,1.0,77485.29,2.0,129596.38,1.0,104610.78,717751.12,171661.82
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,1269039.1,27.0,921984.27,229489.9,3.25,0.0,0.0,-9.0,2.0,202874.51,1196374.45,3.25,87354.26,0.0,144180.32,2.0,202874.51,1630783.54,300625.59
HI,HAWAII,1500030,Hawaii Department of Education,37,Chiefess Kapiolani Elementary School,150003000037,No,1322521.5,26.0,1015998.32,370480.06,5.25,35875.02,0.0,-9.0,1.0,109064.79,1402304.88,5.25,188371.42,0.0,161583.37,1.0,109064.79,1861324.46,422662.6
HI,HAWAII,1500030,Hawaii Department of Education,38,Kau High & Pahala Elementary School,150003000038,No,1601984.68,43.0,1252627.5,447751.59,8.25,18650.55,1.0,118999.88,2.0,211706.75,1851222.19,8.25,263243.98,1.0,118999.88,2.0,211706.75,2445172.8,600695.62
HI,HAWAII,1500030,Hawaii Department of Education,39,Kaumana Elementary School,150003000039,No,1060923.19,19.0,790756.32,254321.48,3.75,0.0,0.0,-9.0,1.0,130672.54,1076710.27,3.75,120565.25,0.0,139494.33,1.0,130672.54,1467442.39,297717.74
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,2510508.56,51.0,1926703.11,237070.14,9.5,45569.37,0.0,-9.0,3.0,279011.52,2725966.86,9.5,330778.15,0.0,259224.56,3.0,279011.52,3594981.09,380758.27
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,3185599.62,70.5,2504771.64,333981.25,14.0,128577.63,1.0,231511.49,3.0,320738.86,3317098.23,14.0,457942.65,1.0,231511.49,3.0,320738.86,4327291.23,443498.73
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,1541393.91,32.0,1270151.3,280553.03,6.0,37298.92,0.0,-9.0,1.0,109064.79,1824549.4,6.0,174179.7,0.0,124878.9,1.0,109064.79,2232672.79,357493.89
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,816299.57,20.0,506371.6,305483.04,5.0,14710.06,0.0,-9.0,2.0,224287.98,845422.58,5.0,182047.22,0.0,70929.93,2.0,224287.98,1322687.71,467459.14
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,1948630.24,37.0,1598899.49,236696.07,4.0,0.0,0.0,-9.0,2.0,242289.65,1847536.89,4.0,125284.2,0.0,107441.1,2.0,242289.65,2322551.84,267289.04
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,2374446.32,54.0,2034499.11,736001.93,7.25,38132.08,0.0,-9.0,2.0,234836.73,2650618.32,9.0,338217.41,0.0,66978.4,2.0,234836.73,3290650.86,1018337.49
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,1445871.0,16.0,802553.0,28958.0,0.0,-9.0,13.5,240193.0,6.5,403125.0,1241224.0,6.75,69649.0,24.75,1121913.05,7.5,466691.0,2899477.05,43111.0
HI,HAWAII,1500030,Hawaii Department of Education,47,Mountain View Elementary School,150003000047,No,1616752.76,35.0,1222690.48,208982.68,7.0,0.0,0.0,-9.0,3.0,259654.23,1653950.56,7.0,200607.23,0.0,134408.05,3.0,259654.23,2248620.07,325250.73
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000048,No,1314364.19,28.0,925373.08,179897.39,8.0,67669.2,0.0,-9.0,2.0,208388.97,1227775.33,8.0,238664.92,0.0,112932.94,2.0,208388.97,1787762.16,268201.46
HI,HAWAII,1500030,Hawaii Department of Education,49,Paauilo Elementary & Intermediate School,150003000049,No,1007050.59,15.0,626837.09,192633.83,5.0,45092.8,0.0,-9.0,2.0,190931.18,779832.55,5.0,140117.69,0.0,144189.52,2.0,190931.18,1255070.94,221837.78
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,1528602.4,33.0,1074628.88,483594.3,11.75,62582.93,0.0,-9.0,2.0,218728.38,1855799.77,12.75,420112.65,0.0,172662.21,2.0,218728.38,2667303.01,673060.51
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000051,No,2959799.72,59.0,2507832.89,568987.52,8.0,34444.49,0.0,-9.0,1.0,179383.52,3186759.46,8.0,250194.56,0.0,238138.82,1.0,179383.52,3854476.36,678238.68
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000052,No,4320206.5,82.0,3315369.7,814762.2,15.0,74970.49,1.0,457778.89,4.0,472087.42,4435132.78,15.0,473592.21,1.0,457778.89,4.0,472087.42,5838591.3,843616.47
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000053,No,2689704.98,57.0,2226985.64,594693.36,8.75,0.0,0.0,-9.0,2.0,222164.52,2998846.41,8.75,303665.57,0.0,240554.82,2.0,222164.52,3765231.32,785761.46
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000054,No,2382744.02,47.0,1936557.19,552199.85,9.5,62258.32,0.0,-9.0,2.0,197254.69,2616200.18,9.5,347555.01,0.0,186673.82,2.0,197254.69,3347683.7,717008.51
HI,HAWAII,1500030,Hawaii Department of Education,55,Waimea Elementary School,150003000055,No,1776539.52,36.5,1349873.63,259553.04,7.5,67525.07,0.0,-9.0,2.0,196164.93,1803728.13,7.5,254800.04,0.0,162975.89,2.0,196164.93,2417668.99,432137.17
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,4280927.52,78.0,3307950.85,1066036.02,14.99,74801.06,0.0,-9.0,4.0,425185.93,4188788.75,14.99,451563.79,0.0,472989.68,4.0,425185.93,5538528.15,1104172.21
HI,HAWAII,1500030,Hawaii Department of Education,57,Haiku Elementary School,150003000057,No,1529805.13,33.0,1210651.58,191762.05,4.62,66752.24,0.0,-9.0,2.0,151071.29,1543741.09,4.62,140527.6,0.0,101330.02,2.0,151071.29,1936670.0,213355.8
HI,HAWAII,1500030,Hawaii Department of Education,58,Hana High & Elementary School,150003000058,No,1544856.42,29.0,1028667.32,412647.02,5.11,60746.51,0.0,-9.0,2.0,263196.5,1386768.83,5.11,182665.64,0.0,192246.09,2.0,263196.5,2024877.06,623971.57
HI,HAWAII,1500030,Hawaii Department of Education,59,Iao Intermediate School,150003000059,No,2812745.86,61.0,2184831.1,327540.96,6.11,0.0,0.0,-9.0,4.0,402306.91,2923703.52,6.11,192867.65,0.0,225607.85,4.0,402306.91,3744485.93,587953.23
HI,HAWAII,1500030,Hawaii Department of Education,60,Kahului Elementary School,150003000060,No,3400421.26,64.0,2731493.2,217395.67,15.21,221948.02,0.0,-9.0,3.0,272014.4,3183830.03,15.21,420476.92,0.0,174965.64,3.0,272014.4,4051286.99,406274.43
HI,HAWAII,1500030,Hawaii Department of Education,61,King Kamehameha III Elementary School,150003000061,No,2525011.75,48.0,1998699.93,381226.14,9.5,87863.33,0.0,-9.0,2.0,200607.51,2392157.6,9.5,285249.62,0.0,237840.98,2.0,200607.51,3115855.71,514533.81
HI,HAWAII,1500030,Hawaii Department of Education,62,Kaunakakai Elementary School,150003000062,No,911850.57,21.0,652913.09,121742.99,9.25,65720.92,0.0,-9.0,1.0,105580.85,1007276.17,10.0,282166.65,0.0,87635.71,1.0,105580.85,1482659.38,164246.43
HI,HAWAII,1500030,Hawaii Department of Education,64,Kihei Elementary School,150003000064,No,2781065.34,59.0,2327319.1,285749.15,7.73,25877.66,0.0,-9.0,2.0,210220.56,2971464.2,7.73,239178.44,0.0,217648.02,2.0,210220.56,3638511.22,469439.89
HI,HAWAII,1500030,Hawaii Department of Education,65,Kilohana Elementary School,150003000065,No,400961.38,8.0,296350.6,128643.33,3.0,0.0,0.0,-9.0,1.0,104610.78,380031.74,3.0,47502.24,0.0,0.0,1.0,104610.78,532144.76,167504.16
HI,HAWAII,1500030,Hawaii Department of Education,66,Kualapuu School - Public Conversion Charter,150003000066,No,2033393.31,21.0,1417078.27,469913.0,4.0,119765.61,2.0,87070.45,7.0,409478.98,1523743.68,5.0,146272.28,2.0,87070.45,7.0,409478.98,2166565.39,672739.0
HI,HAWAII,1500030,Hawaii Department of Education,67,Kula Elementary School,150003000067,No,1416687.69,33.0,1048883.34,248306.99,6.23,26967.36,0.0,-9.0,2.0,189062.83,1386806.4,6.23,186846.08,0.0,151774.16,2.0,189062.83,1914489.47,265284.58
HI,HAWAII,1500030,Hawaii Department of Education,68,Lahaina Intermediate School,150003000068,No,2279596.68,44.0,1662728.44,516667.66,4.35,0.0,0.0,-9.0,3.0,312953.45,2216346.39,4.35,126722.97,0.0,303914.79,3.0,312953.45,2959937.6,534340.69
HI,HAWAII,1500030,Hawaii Department of Education,69,Lahainaluna High School,150003000069,No,3075541.14,62.0,2419311.56,766675.43,4.74,35875.02,0.0,-9.0,4.0,401845.65,3124818.04,4.74,137651.71,0.0,218508.91,4.0,401845.65,3882824.31,802919.59
HI,HAWAII,1500030,Hawaii Department of Education,70,Lanai High & Elementary School,150003000070,No,1936029.45,46.0,1357080.71,445218.87,8.75,77613.82,0.0,-9.0,4.0,360834.85,1897635.16,8.75,310717.75,0.0,140500.07,4.0,360834.85,2709687.83,452154.19
HI,HAWAII,1500030,Hawaii Department of Education,71,Lihikai Elementary School,150003000071,No,3214541.77,57.0,2646667.71,423579.45,13.48,163047.79,0.0,-9.0,2.0,202460.97,3121574.61,13.48,384706.03,0.0,202365.3,2.0,202460.97,3911106.91,628987.91
HI,HAWAII,1500030,Hawaii Department of Education,72,Makawao Elementary School,150003000072,No,1997673.73,40.0,1584610.23,507168.52,9.75,42395.68,0.0,-9.0,2.0,223940.58,2023144.5,9.75,259102.62,0.0,146727.24,2.0,223940.58,2652914.94,605650.4
