LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SCICLASSES_BIOL,SCH_SCICCERT_BIOL,SCH_SCIENR_BIOL_HI_M,SCH_SCIENR_BIOL_HI_F,SCH_SCIENR_BIOL_AM_M,SCH_SCIENR_BIOL_AM_F,SCH_SCIENR_BIOL_AS_M,SCH_SCIENR_BIOL_AS_F,SCH_SCIENR_BIOL_HP_M,SCH_SCIENR_BIOL_HP_F,SCH_SCIENR_BIOL_BL_M,SCH_SCIENR_BIOL_BL_F,SCH_SCIENR_BIOL_WH_M,SCH_SCIENR_BIOL_WH_F,SCH_SCIENR_BIOL_TR_M,SCH_SCIENR_BIOL_TR_F,TOT_SCIENR_BIOL_M,TOT_SCIENR_BIOL_F,SCH_SCIENR_BIOL_LEP_M,SCH_SCIENR_BIOL_LEP_F,SCH_SCIENR_BIOL_IDEA_M,SCH_SCIENR_BIOL_IDEA_F
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,17,11,6,5,2,0,17,11,111,129,0,0,24,36,22,21,182,202,8,3,15,13
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,7,7,8,8,0,0,26,36,64,72,0,0,17,16,6,9,121,141,1,4,19,13
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,11,7,21,30,0,1,12,12,21,36,2,4,50,68,19,22,125,173,3,0,12,4
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,24,Sunset Beach Elementary School,150003000024,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,25,Waiahole Elementary School,150003000025,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,26,Waimanalo Elementary & Intermediate School,150003000026,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,27,Ernest Bowen DeSilva Elementary School,150003000027,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,28,Haaheo Elementary School,150003000028,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,34,20,22,14,1,0,50,51,152,139,4,1,31,24,20,18,280,247,21,10,60,18
HI,HAWAII,1500030,Hawaii Department of Education,30,Hilo Intermediate School,150003000030,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,31,Hilo Union Elementary School,150003000031,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,33,Honaunau Elementary School,150003000033,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,11,9,6,1,1,0,27,15,37,19,2,0,13,5,2,2,88,42,7,2,16,3
HI,HAWAII,1500030,Hawaii Department of Education,35,Hookena Elementary School,150003000035,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,37,Chiefess Kapiolani Elementary School,150003000037,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,38,Kau High & Pahala Elementary School,150003000038,No,10,5,0,8,0,0,13,20,29,44,0,0,9,3,3,0,54,75,5,14,11,6
HI,HAWAII,1500030,Hawaii Department of Education,39,Kaumana Elementary School,150003000039,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,5,4,4,4,1,0,15,13,19,20,0,0,6,8,6,1,51,46,2,0,7,2
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,13,8,15,14,1,1,24,32,60,47,2,1,20,19,4,4,126,118,8,5,20,7
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,1,1,1,1,0,0,3,2,3,6,0,0,4,0,0,2,11,11,2,0,3,3
HI,HAWAII,1500030,Hawaii Department of Education,47,Mountain View Elementary School,150003000047,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000048,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,49,Paauilo Elementary & Intermediate School,150003000049,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,11,4,6,9,2,0,9,4,24,28,1,0,7,2,9,3,58,46,3,1,22,2
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000051,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000052,No,20,16,19,17,2,0,74,100,80,96,1,0,19,21,28,32,223,266,4,8,21,10
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000053,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000054,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,55,Waimea Elementary School,150003000055,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,16,15,9,14,1,0,72,72,83,76,2,1,17,15,9,9,193,187,14,16,19,9
HI,HAWAII,1500030,Hawaii Department of Education,57,Haiku Elementary School,150003000057,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,58,Hana High & Elementary School,150003000058,No,1,0,0,1,0,0,0,0,11,7,0,0,3,1,0,0,14,9,0,0,4,2
HI,HAWAII,1500030,Hawaii Department of Education,59,Iao Intermediate School,150003000059,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,60,Kahului Elementary School,150003000060,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,61,King Kamehameha III Elementary School,150003000061,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,62,Kaunakakai Elementary School,150003000062,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,64,Kihei Elementary School,150003000064,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,65,Kilohana Elementary School,150003000065,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,66,Kualapuu School - Public Conversion Charter,150003000066,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,67,Kula Elementary School,150003000067,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,68,Lahaina Intermediate School,150003000068,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,69,Lahainaluna High School,150003000069,No,4,2,2,4,0,0,7,21,0,5,0,0,1,3,1,5,11,38,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,70,Lanai High & Elementary School,150003000070,No,4,2,2,1,0,1,23,26,9,12,2,0,4,0,3,0,43,40,3,1,9,4
HI,HAWAII,1500030,Hawaii Department of Education,71,Lihikai Elementary School,150003000071,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,72,Makawao Elementary School,150003000072,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,73,Maui High School,150003000073,No,31,26,23,16,0,1,168,185,70,75,4,1,25,31,15,16,305,325,39,18,24,9
HI,HAWAII,1500030,Hawaii Department of Education,74,Maunaloa Elementary School,150003000074,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,75,Molokai High School,150003000075,No,7,5,3,0,0,0,5,7,39,53,0,0,0,0,2,0,49,60,0,1,5,5
HI,HAWAII,1500030,Hawaii Department of Education,76,Paia Elementary School,150003000076,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,77,Pukalani Elementary School,150003000077,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,79,Waihee Elementary School,150003000079,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,80,Wailuku Elementary School,150003000080,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,81,Eleele Elementary School,150003000081,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,82,Hanalei Elementary School,150003000082,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,83,Kalaheo Elementary School,150003000083,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,84,Kapaa Elementary School,150003000084,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,85,Kapaa High School,150003000085,No,6,6,7,10,0,1,30,28,40,45,0,0,22,33,8,19,107,136,2,1,19,6
HI,HAWAII,1500030,Hawaii Department of Education,86,Kauai High School,150003000086,No,16,15,7,8,1,0,75,102,37,57,1,0,23,34,14,15,158,216,10,12,20,4
HI,HAWAII,1500030,Hawaii Department of Education,88,Kekaha Elementary School,150003000088,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,89,Kilauea Elementary School,150003000089,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,90,Koloa Elementary School,150003000090,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,91,Niihau High & Elementary School,150003000091,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,92,Waimea Canyon Middle School,150003000092,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,93,Waimea High School,150003000093,No,16,8,6,1,0,0,39,26,56,50,0,0,14,9,5,9,120,95,10,5,18,5
HI,HAWAII,1500030,Hawaii Department of Education,94,Elsie H Wilcox Elementary School,150003000094,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,96,Hawaii School for the Deaf and Blind,150003000096,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,98,Olomana School,150003000098,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,99,Mililani Mauka Elementary School,150003000099,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,100,Castle High School,150003000100,No,14,12,17,17,0,1,44,54,87,95,3,4,18,16,16,10,185,197,4,3,40,20
HI,HAWAII,1500030,Hawaii Department of Education,101,Aikahi Elementary School,150003000101,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
