state,category,link_text,url,source_page,description
hawaii,other,FY 12-13 A-133 Audit Certification,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/FY-12-13-A-133-Audit-Certification.xls,https://hcnp.hawaii.gov/fiscal/,FY 12-13 A-133 Audit Certification (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,ICN Financial Management Information System Manual,https://hcnp.hawaii.gov/wp-content/uploads/2023/05/ICN-Financial-Management-Information-System-2nd-Edition-2018.pdf,https://hcnp.hawaii.gov/fiscal/,ICN Financial Management Information System Manual (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,ICN Procurement in the 21st Century Resource Manual,https://hcnp.hawaii.gov/wp-content/uploads/2023/05/ICN-Procurement-in-the-21st-Century-Resource-Manual-2015.pdf,https://hcnp.hawaii.gov/fiscal/,ICN Procurement in the 21st Century Resource Manual (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,SY 12-13 NSLP Annual Financial Report of Child Nutrition Programs,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/HCNP-SY2012-2013-NSLP-ANNUAL-FINANCIAL-REPORT-OF-Child-Nutrition-Programs-Due-Oct-15.xls,https://hcnp.hawaii.gov/fiscal/,SY 12-13 NSLP Annual Financial Report of Child Nutrition Programs (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,CFDA Numbers,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/CFDA-Numbers.pdf,https://hcnp.hawaii.gov/fiscal/,CFDA Numbers (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,DUNS-Certification Form,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/FISCAL-DUNS-Certification-Form.xls,https://hcnp.hawaii.gov/fiscal/,DUNS-Certification Form (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,NOTICE: SY 2021-2022 Schedule for Submitting Online Claims,https://hcnp.hawaii.gov/wp-content/uploads/2022/11/Notice-SY-21-22-Schedule-for-Submitting-Online-Claims.pdf,https://hcnp.hawaii.gov/fiscal/,NOTICE: SY 2021-2022 Schedule for Submitting Online Claims (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,NOTICE: SY 2022-2023 Schedule for Submitting Online Claims,https://hcnp.hawaii.gov/wp-content/uploads/2022/11/Notice-SY-22-23-Schedule-for-Submitting-Online-Claims-1.pdf,https://hcnp.hawaii.gov/fiscal/,NOTICE: SY 2022-2023 Schedule for Submitting Online Claims (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,NOTICE: SY 2023-2024 Schedule for Submitting Online Claims,https://hcnp.hawaii.gov/wp-content/uploads/2023/12/NOTICE-SY-2023-2024-Schedule-for-Submitting-Online-Claims.pdf,https://hcnp.hawaii.gov/fiscal/,NOTICE: SY 2023-2024 Schedule for Submitting Online Claims (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,NOTICE: SY 2024-2025 Schedule for Submitting Online Claims,https://hcnp.hawaii.gov/wp-content/uploads/2024/09/NOTICE-SY-2024-2025-Schedule-for-Submitting-Online-Claims.pdf,https://hcnp.hawaii.gov/fiscal/,NOTICE: SY 2024-2025 Schedule for Submitting Online Claims (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,SY 2025-2026 Edit Check Worksheet,https://hcnp.hawaii.gov/wp-content/uploads/2025/07/SY-2025-2026-Edit-Check-Worksheet.xls,https://hcnp.hawaii.gov/fiscal/,SY 2025-2026 Edit Check Worksheet (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2026 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2026/01/October-Data-2026-SY25-26.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2026 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2025 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2025/02/October-Data-2025-SY24-25.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2025 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2024 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2024/01/October-Data-2024-SY23-24.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2024 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2023 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2024/01/NSLP008-October-Data-Report-2023.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2023 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2022 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2023/04/All-SFAs-October-Data-Report.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2022 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2021 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2022/04/NSLP008-October-Data-Report-R1-SY21-22.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2021 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2020 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2021/02/NSLP008-October-Data-Report-SY20-21.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2020 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2019 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2020/02/SY-19-20-NSLP-October-Data-Report.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2019 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2018 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2019/02/NSLP008-October-Data-Report.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2018 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2017 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2018/01/NSLP008-October-Data-Report.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2017 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2016 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2017/01/Oct.-2016-Data-Report.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2016 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2015 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2016/01/NSLP008-October-Data-Report.xls,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2015 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2015 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2016/01/NSLP008-October-Data-Report.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2015 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2014 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/NSLP008-October-Data-Report.xls,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2014 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs – October 2014 Data Report,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/NSLP008-October-Data-Report.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs – October 2014 Data Report (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs Oct 2013 Excel,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/FISCAL-All-SFAs-Oct-2013-excel.xls,https://hcnp.hawaii.gov/fiscal/,All SFAs Oct 2013 Excel (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All SFAs Oct 2013 PDF,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/FISCAL-All-SFAs-Oct-2013-PDF.pdf,https://hcnp.hawaii.gov/fiscal/,All SFAs Oct 2013 PDF (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,"All SFAs and Site Attendance Factors, and Oct 12 Free and Reduced Price Eligibility Data v2",https://hcnp.hawaii.gov/wp-content/uploads/2013/09/12-All-SFAs-and-Site-Attendance-Factors-and-Oct-12-Free-and-Reduced-Price-Eligibility-Data-v2.xls,https://hcnp.hawaii.gov/fiscal/,"All SFAs and Site Attendance Factors, and Oct 12 Free and Reduced Price Eligibility Data v2 (from https://hcnp.hawaii.gov/fiscal/)"
hawaii,other,HI DOE School Sites – Oct 12 Free and reduced Price Eligibility Data,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/12-HIi-DOE-School-Sites-Oct-12-Free-and-reduced-Price-Eligibility-Data.xls,https://hcnp.hawaii.gov/fiscal/,HI DOE School Sites – Oct 12 Free and reduced Price Eligibility Data (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All HI School Food Authorities – Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-All-HI-School-Food-Authorities-Alpha.xls,https://hcnp.hawaii.gov/fiscal/,All HI School Food Authorities – Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All HI School Food Authorities – Free & Reduced Percentage,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-All-HIi-School-Food-Authorities-Free-Reduced-Percentage.xls,https://hcnp.hawaii.gov/fiscal/,All HI School Food Authorities – Free & Reduced Percentage (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,DOE Only – Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-DOE-Only-Alpha.xls,https://hcnp.hawaii.gov/fiscal/,DOE Only – Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,DOE Only – Free & Reduced Percentage,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-DOE-Only-Free-Reduced-Percentage.xls,https://hcnp.hawaii.gov/fiscal/,DOE Only – Free & Reduced Percentage (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,HI Schools – Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-HI-Schools-Alpha.xls,https://hcnp.hawaii.gov/fiscal/,HI Schools – Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,HI Schools – Free & Reduced Percentage,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-HI-Schools-Free-Reduced-Percentage.xls,https://hcnp.hawaii.gov/fiscal/,HI Schools – Free & Reduced Percentage (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,Non-DOE School Food Authorities – Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-Non-DOE-School-Food-Authorities-Alpha.xls,https://hcnp.hawaii.gov/fiscal/,Non-DOE School Food Authorities – Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,Non-DOE School Food Authorities – Free & Reduced Percentage,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-Non-DOE-School-Food-Authorities-Free-Reduced-Percentage.xls,https://hcnp.hawaii.gov/fiscal/,Non-DOE School Food Authorities – Free & Reduced Percentage (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,OCT Data 11 Reporting Form,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/11-OCT-Data-11-Reporting-Form.xls,https://hcnp.hawaii.gov/fiscal/,OCT Data 11 Reporting Form (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All HI SFAs Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/10-All-HI-SFAs-Alpha.pdf,https://hcnp.hawaii.gov/fiscal/,All HI SFAs Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,All HI SFAs FR Pct,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/10-All-HI-SFAs-FR-Pct.pdf,https://hcnp.hawaii.gov/fiscal/,All HI SFAs FR Pct (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,DOE Only Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/10-DOE-Only-Alpha.pdf,https://hcnp.hawaii.gov/fiscal/,DOE Only Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,DOE Only FR Pct,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/10-DOE-Only-FR-Pct.pdf,https://hcnp.hawaii.gov/fiscal/,DOE Only FR Pct (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,HI Schools Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/10-HI-Schools-Alpha.pdf,https://hcnp.hawaii.gov/fiscal/,HI Schools Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,HI Schools FR Pct,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/10-HI-Schools-FR-Pct.pdf,https://hcnp.hawaii.gov/fiscal/,HI Schools FR Pct (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,Non-DOE SFAs Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/10-Non-DOE-SFAs-Alpha.pdf,https://hcnp.hawaii.gov/fiscal/,Non-DOE SFAs Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,Non-DOE SFAs FR Pct,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/10-Non-DOE-SFAs-FR-Pct.pdf,https://hcnp.hawaii.gov/fiscal/,Non-DOE SFAs FR Pct (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,DOE Schools & SFAs,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/Oct-09-Data-DOE_Schools__SFAs.pdf,https://hcnp.hawaii.gov/fiscal/,DOE Schools & SFAs (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,DOE Schools & Other SFAs,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/Oct-09-Data-DOE_Schools__Other_SFAs.pdf,https://hcnp.hawaii.gov/fiscal/,DOE Schools & Other SFAs (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,HI School Food Authorities Excluding DOE Alpha,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/Oct-09-Data-HI_School_Food_Authorities_Excluding_DOE_Alpha.pdf,https://hcnp.hawaii.gov/fiscal/,HI School Food Authorities Excluding DOE Alpha (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,HI School Food Authorities Excluding DOE,https://hcnp.hawaii.gov/wp-content/uploads/2013/09/Oct-09-Data-HI_School_Food_Authorities_Excluding_DOE.pdf,https://hcnp.hawaii.gov/fiscal/,HI School Food Authorities Excluding DOE (from https://hcnp.hawaii.gov/fiscal/)
hawaii,other,AD-3027,https://www.usda.gov/sites/default/files/documents/ad-3027.pdf,https://hcnp.hawaii.gov/fiscal/,AD-3027 (from https://hcnp.hawaii.gov/fiscal/)
